step,time,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,roll,pitch,yaw,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z
39,0.65,-1.0722517e-05,7.600106e-07,0.08725906,0.99999994,-3.4230263e-07,3.6466492e-05,1.5251001e-06,3.1415896034144515,-7.293298939847759e-05,-6.844940658723431e-07,0.00027319125,2.3353352e-05,0.0083101,-0.000248924,0.0034844459,1.3769928e-06
40,0.6666666666666666,-1.6268144e-05,4.873414e-07,0.08731098,1.0,7.8089516e-07,-5.090342e-06,1.5487477e-06,3.141589556102306,1.018068602154365e-05,1.5617745598994759e-06,-0.0005545627,-2.7266917e-05,0.0051918505,0.00022549162,-0.008342414,4.7417975e-06
41,0.6833333333333333,-1.23984055e-05,5.677077e-07,0.087342404,0.99999994,-5.983006e-07,2.7088707e-05,1.396809e-06,3.141589860004016,-5.417741829072398e-05,-1.196525543756266e-06,0.0003869739,8.036627e-06,0.0031428046,-0.00027711113,0.006465257,-3.052311e-05
42,0.7,-1.8137509e-05,3.9511127e-07,0.087359786,1.0,7.313641e-07,-1.6335562e-05,1.4225874e-06,3.1415898084389102,3.267112541349704e-05,1.462681687325329e-06,-0.0005739104,-1.725964e-05,0.0017383136,0.00026613742,-0.00869113,5.157388e-06
43,0.7166666666666667,-1.34701795e-05,4.8790645e-07,0.087369874,0.99999994,-6.8671835e-07,2.3525876e-05,1.3967307e-06,3.1415898601605736,-4.7051756321581095e-05,-1.3733710668706323e-06,0.00046673292,9.279519e-06,0.0010089703,-0.00028444995,0.007995399,-5.1850957e-06
44,0.7333333333333333,-1.9050214e-05,3.4246736e-07,0.08737497,1.0,7.2782865e-07,-2.0457797e-05,1.3922571e-06,3.1415898691053634,4.091559660279742e-05,1.4556003333776601e-06,-0.00055800355,-1.454391e-05,0.0005093432,0.0002832713,-0.008807605,-8.964468e-07
45,0.75,-1.4013676e-05,5.004544e-07,0.087378114,0.99999994,-6.840214e-07,2.2214388e-05,1.3294582e-06,3.1415899947036228,-4.442878062338451e-05,-1.3679838470892491e-06,0.0005036538,1.5798707e-05,0.00031438662,-0.00028299537,0.008552985,-1.2586615e-05
46,0.7666666666666666,-1.9492607e-05,3.8087487e-07,0.08737943,1.0,7.881494e-07,-2.176739e-05,1.3330877e-06,3.1415899874487985,4.353478134633271e-05,1.576240779233018e-06,-0.000547893,-1.1957955e-05,0.00013184237,0.00029563447,-0.008831864,7.282928e-07
47,0.7833333333333333,-1.4318859e-05,5.020288e-07,0.087380506,0.99999994,-6.723764e-07,2.1840047e-05,1.338789e-06,3.1415899760409065,-4.368009907396164e-05,-1.3446944340245182e-06,0.0005173748,1.2115392e-05,0.000107111475,-0.00029262868,0.00873677,1.1428308e-06
48,0.8,-1.9766889e-05,3.6783578e-07,0.087380715,1.0,8.009132e-07,-2.2329064e-05,1.3347628e-06,3.1415899840999026,4.465813103027294e-05,1.6017667905376953e-06,-0.000544803,-1.3419301e-05,2.11956e-05,0.0002949909,-0.00884345,-8.066046e-07
49,0.8166666666666667,-1.45411905e-05,5.4040885e-07,0.087381184,0.99999994,-6.3950665e-07,2.1653761e-05,1.3539673e-06,3.1415899456827985,-4.330752629777557e-05,-1.2789547441105498e-06,0.00052256987,1.7257305e-05,4.6866957e-05,-0.00028863826,0.008813129,3.848744e-06
50,0.8333333333333334,-1.9973564e-05,4.2838224e-07,0.08738108,1.0,8.019108e-07,-2.2516377e-05,1.308435e-06,3.141590036755898,4.503275549594399e-05,1.603762679991405e-06,-0.00054323743,-1.1202662e-05,-1.0723413e-05,0.0002886944,-0.008846257,-9.119638e-06
51,0.85,-1.4725662e-05,5.798855e-07,0.08738137,0.99999994,-7.4707214e-07,2.1650134e-05,1.3390228e-06,3.141589975576405,-4.3300272436486154e-05,-1.494086381059745e-06,0.00052479014,1.515033e-05,2.9211526e-05,-0.0003099191,0.00883646,6.1198757e-06
52,0.8666666666666667,-2.0149922e-05,3.1063922e-07,0.08738116,1.0,8.067298e-07,-2.2516217e-05,1.3503628e-06,3.1415899529004756,4.503243543418911e-05,1.613398821431744e-06,-0.0005424261,-2.692463e-05,-2.098901e-05,0.0003112112,-0.008845746,2.271091e-06
53,0.8833333333333333,-1.49017915e-05,6.107854e-07,0.087381415,0.99999994,-7.2745553e-07,2.1650818e-05,1.364421e-06,3.141589924779138,-4.330164030119654e-05,-1.4548520632651218e-06,0.0005248131,3.0014615e-05,2.5110521e-05,-0.0003073039,0.008846501,2.8160448e-06
54,0.9,-2.0326248e-05,2.916454e-07,0.08738118,1.0,7.9145127e-07,-2.2516744e-05,1.3805509e-06,3.141589892523665,4.5033490454704506e-05,1.5828403712170314e-06,-0.00054244563,-3.1913998e-05,-2.4126892e-05,0.00030450852,-0.008854303,3.2334028e-06
55,0.9166666666666666,-1.5064149e-05,4.1145574e-07,0.08738141,0.99999994,-6.763629e-07,2.1652491e-05,1.4508882e-06,3.1415897518424116,-4.3304987219494606e-05,-1.3526630540106055e-06,0.0005262099,1.1981036e-05,2.3262279e-05,-0.00029408996,0.008849332,1.4092552e-05
56,0.9333333333333333,-2.049094e-05,1.0894444e-07,0.08738116,1.0,8.2040367e-07,-2.2515827e-05,1.465534e-06,3.141589722558825,4.50316571327658e-05,1.6407413461205778e-06,-0.00054267904,-3.025113e-05,-2.4497711e-05,0.00030045642,-0.008865833,2.939262e-06
57,0.95,-1.5236108e-05,4.0847726e-07,0.0873814,0.99999994,-7.163006e-07,2.1651122e-05,1.4790237e-06,3.1415896955732436,-4.3302247977106134e-05,-1.4325371933132658e-06,0.0005254831,2.9953284e-05,2.3768533e-05,-0.0003079048,0.008849224,2.7031126e-06
58,0.9666666666666667,-2.066679e-05,8.046546e-08,0.08738115,1.0,8.127992e-07,-2.270346e-05,1.4969413e-06,3.1415896597440813,4.540692195131868e-05,1.6255304584600339e-06,-0.0005430683,-3.280118e-05,-2.5187526e-05,0.0003058621,-0.008871756,3.5835815e-06
59,0.9833333333333333,-1.5411919e-05,4.153554e-07,0.087381385,0.99999994,-7.387886e-07,2.1650336e-05,1.5165872e-06,3.141589620447221,-4.330067649216396e-05,-1.4775115628751223e-06,0.00052548706,3.3488996e-05,2.3855244e-05,-0.00031071904,0.008881853,3.9342754e-06
60,1.0,-2.0851228e-05,7.988396e-08,0.08738113,1.0,7.781111e-07,-2.2704664e-05,1.5343303e-06,3.141589584964535,4.540933024732574e-05,1.556152501303032e-06,-0.000543931,-3.3547145e-05,-2.5555673e-05,0.00030412857,-0.008892493,3.5571836e-06
61,1.0166666666666666,-1.5604413e-05,4.174315e-07,0.08738137,0.99999994,-7.608855e-07,2.1649576e-05,1.5535816e-06,3.141589546459414,-4.3299155940479395e-05,-1.5217037914183607e-06,0.0005246816,3.3754754e-05,2.3952814e-05,-0.00030794553,0.008874666,3.8518265e-06
62,1.0333333333333332,-2.1052354e-05,7.5044326e-08,0.08738112,1.0,7.99588e-07,-2.2703915e-05,1.5730748e-06,3.141589507476561,4.540783152795491e-05,1.5991045874130805e-06,-0.000544794,-3.4238717e-05,-2.5610454e-05,0.0003130443,-0.008897292,3.9103024e-06
63,1.05,-1.5774758e-05,2.2093019e-07,0.08738135,0.99999994,-6.8842877e-07,2.1652064e-05,1.5636558e-06,3.141589526307788,-4.330413248454512e-05,-1.3767899098571235e-06,0.00052775955,1.4588587e-05,2.3118499e-05,-0.00029825704,0.008890266,-1.8874855e-06
64,1.0666666666666667,-2.1210184e-05,-9.07233e-08,0.087381095,1.0,8.2322487e-07,-2.2703118e-05,1.5821971e-06,3.141589489232942,4.540623818272138e-05,1.6463778913511362e-06,-0.00054354256,-3.116535e-05,-2.5235377e-05,0.00030331634,-0.008899544,3.7197124e-06
65,1.0833333333333333,-1.5916161e-05,4.5434433e-08,0.08738133,0.99999994,-6.56533e-07,2.1653137e-05,1.5726574e-06,3.141589508303187,-4.330627880411164e-05,-1.3129980094284122e-06,0.00052940234,1.3615773e-05,2.3469664e-05,-0.00029676495,0.008895212,-1.912491e-06
66,1.1,-2.1371336e-05,-8.4794e-08,0.08738109,1.0,8.532696e-07,-2.2702106e-05,1.5541361e-06,3.1415895453562666,4.5404215513578094e-05,1.706468687689977e-06,-0.00054551754,-1.3022844e-05,-2.4525876e-05,0.00030308895,-0.008903789,-3.7186505e-06
67,1.1166666666666667,-1.6100363e-05,1.800085e-07,0.087381326,0.99999994,-7.050656e-07,2.1651464e-05,1.5669006e-06,3.141589519819035,-4.330293200793811e-05,-1.4100634095903786e-06,0.0005270974,2.6480251e-05,2.3550116e-05,-0.00031200945,0.008880066,2.5560805e-06
68,1.1333333333333333,-2.1565455e-05,-1.1381734e-07,0.087381065,1.0,8.1683385e-07,-2.2890737e-05,1.5804843e-06,3.1415894926585697,4.578147748368622e-05,1.6335953374468914e-06,-0.0005465092,-2.9382585e-05,-2.5809659e-05,0.00030453337,-0.0089125205,2.7176714e-06
69,1.15,-1.6288097e-05,1.0483807e-07,0.0873813,0.99999994,-8.975723e-07,2.1644451e-05,1.6223031e-06,3.1415894090222483,-4.328890830151977e-05,-1.7950744926054085e-06,0.00052773574,2.1865542e-05,2.3684208e-05,-0.00034320867,0.008915173,8.370849e-06
70,1.1666666666666667,-2.1767231e-05,-6.078167e-08,0.08738105,1.0,6.67969e-07,-2.289624e-05,1.6197425e-06,3.1415894141353116,4.579248195146768e-05,1.3358638377702903e-06,-0.0005479134,-1.6561975e-05,-2.5140936e-05,0.00031341612,-0.008916485,-5.1141444e-07
71,1.1833333333333333,-1.6497424e-05,2.2280258e-07,0.08738129,0.99999994,-8.0045226e-07,2.1647753e-05,1.6350949e-06,3.1415893834344164,-4.329551093906758e-05,-1.6008338150630408e-06,0.0005269807,2.8358427e-05,2.3908004e-05,-0.00029467253,0.008938337,3.0799058e-06
72,1.2,-2.1985883e-05,6.4470434e-08,0.087381035,1.0,7.14456e-07,-2.2894685e-05,1.6225473e-06,3.1415894085279024,4.578937163413066e-05,1.4288377196969293e-06,-0.0005488459,-1.5833215e-05,-2.5397829e-05,0.00030352944,-0.008924166,-2.5134066e-06
73,1.2166666666666666,-1.669484e-05,1.52283e-07,0.087381266,0.99999994,-7.7663697e-07,2.1648562e-05,1.6139057e-06,3.1415894258117496,-4.329712972883648e-05,-1.5532041484078718e-06,0.00052910444,8.781256e-06,2.3346565e-05,-0.00029920065,0.0089375535,-1.7343775e-06
74,1.2333333333333334,-2.2171243e-05,-1.251181e-07,0.087381005,1.0,7.822228e-07,-2.2892358e-05,1.6268361e-06,3.1415893999533298,4.578471888594393e-05,1.5643711135382432e-06,-0.0005476405,-2.774011e-05,-2.5711106e-05,0.0003123227,-0.008923507,2.5906863e-06
75,1.25,-1.686585e-05,-5.206362e-10,0.08738124,0.99999994,-6.8906144e-07,2.1651493e-05,1.5577267e-06,3.1415895381660346,-4.3302990152982446e-05,-1.3780555030429298e-06,0.00053053943,1.2459747e-05,2.3987413e-05,-0.0002950458,0.008932225,-1.3858009e-05
76,1.2666666666666666,-2.2332148e-05,-2.9873172e-07,0.08738098,1.0,8.258056e-07,-2.2890948e-05,1.576455e-06,3.1415895007175587,4.578189951098821e-05,1.6515390559579401e-06,-0.0005466297,-2.9821109e-05,-2.5776484e-05,0.00030378735,-0.008932008,3.7550972e-06
77,1.2833333333333332,-1.7027181e-05,-2.8138614e-10,0.08738123,0.99999994,-7.4353034e-07,2.183698e-05,1.5897309e-06,3.1415894741602473,-4.367396600502005e-05,-1.4869913314008443e-06,0.0005304966,2.9845034e-05,2.4661547e-05,-0.0003141985,0.008954625,2.658086e-06
78,1.3,-2.2506529e-05,-3.304178e-07,0.08738096,1.0,8.074067e-07,-2.2891598e-05,1.6075286e-06,3.1415894385695804,4.578319826165078e-05,1.6147398167465354e-06,-0.0005479348,-3.3013643e-05,-2.6833153e-05,0.00031097772,-0.008968094,3.5682751e-06
79,1.3166666666666667,-1.7190365e-05,-2.2271492e-07,0.08738121,0.99999994,-6.779319e-07,2.1839202e-05,1.5994968e-06,3.1415894546255307,-4.36784077819663e-05,-1.3557940052866257e-06,0.00053161645,1.0770289e-05,2.4510198e-05,-0.0002973092,0.0089529995,-1.6071433e-06
